,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,T-1 Tsy Closes,,,,T-1 TBA Closes Aug 16,,,,,,,,,,,,,Agency Hybrid ARMs,,,,,,,,,,,,,,,,,
,,,,,,,,,,,TSY,Px,Yld,,Cpn,2.5,3,3.5,4,4.5,5,,,,,,,212-471-8278,,,,,,,,,,,,,,,,,
,,,,,Date,29-Jul-16,,,,,2Y,100-021,0.72,,FNCL,101-060,103-260,105-140,107-020,108-306,,,,,,,,Brett Weisberg,,,,,,,,brett.weisberg@us.bnpparibas.com,,,,,,,,,
,,,,,Settle,23-Aug-16,,,,,5Y,100-047,1.09,,FNCI,103-13+,104-260,105-28+,,,,,,,,,,Abhishek Bhandari,,,,,,,,abhishek.bhandari@us.bnpparibas.com,,,,,,,,,
,,,,,,,,,,,10Y,101-012,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,30Y,105-276,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indicative Data,,,,,,,,,,,,,,,,,,,,,Actual Speeds,,,,Yieldbook Statistics,,,,,,,,,,,,,,,,,,,
,Item,Orig,Current,Pool ID,Cusip,WP,Subtype,NWAC,GWAC,MTR,Index,Margin,Rem IO,WALA,Caps,FICO,LTV,CLTV (HPI),TPO,WAOLS,# Loans,1M CPR,3M CPR,6M CPR,Price,OAS,Effective Duration,Proj 1M CPR,Proj 3M CPR,Proj 6M CPR,Z Spread @ 15 CPB,Spread To 15yrs,Yield @ 15 CPR,Yield @ 10 CPR,Pieces,Servicer,Comment,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seasoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"11,380,008","3,969,876",FN AL0256,3138EGJA3,,2IP,2.737,3.287,8,1yT,2.30,0,135,5/2/7,740,70,66,23%,"248,879",495,14.4,10.9,20.2,106-080,16,0.39,25.4,24.5,22.3,,,1.328,1.626,N,,cmt post reset,,,,,,,,
,2,"23,360,663","14,133,417",FH 1Q1672,3128S52D5,,,2.754,3.256,7,1yL,1.77,0,110,5/2/8,730,69,77,72%,"296,081",616,21.1,26.4,23.5,106-040,37,0.16,29.6,17.5,18.9,,,1.719,2.027,N,,1y lib post reset,,,,,,,,
,3,"5,698,872","5,528,899",FN AL8792,3138ETXW1,WP,J5A,5.899,6.517,9,1yL,1.63,9,111,5/2/5,708,74,81,24%,"239,166",83,30.5,28.7,45.0,106-280,58,0.48,29.9,26.9,24.4,,,1.864,2.124,N,,short reset 10x1 IO,,,,,,,,
,4,"10,201,556","9,898,218",FN AL8648,3138ETTE6,WP,P97,5.676,6.368,10,1yL,1.57,10,111,5/2/5,717,73,81,4%,"236,450",82,30.1,31.3,30.7,106-120,65,0.50,29.1,26.1,24.0,,,2.059,2.275,Y,,short reset 10x1 IO,,,,,,,,
,5,"16,183,500","13,040,820",FN AL7650,3138EQQC9,WP,P97,4.882,5.494,13,1yL,1.77,11,110,5/2/6,737,69,76,47%,"297,650",417,15.2,29.0,23.5,106-200,50,0.39,28.7,26.5,25.6,,,2.051,2.304,Y,,short reset 10x1 IO,,,,,,,,
